"Step","biggestmodeltrain - validation/accuracy","biggestmodeltrain - validation/accuracy__MIN","biggestmodeltrain - validation/accuracy__MAX"
"799","0.3436441180508059","0.3436441180508059","0.3436441180508059"
"1599","0.4056479319768692","0.4056479319768692","0.4056479319768692"
"2399","0.44475661460242977","0.44475661460242977","0.44475661460242977"
"3199","0.4301261832998117","0.4301261832998117","0.4301261832998117"
"3999","0.482635697733194","0.482635697733194","0.482635697733194"
"4799","0.4955925166822082","0.4955925166822082","0.4955925166822082"
"5599","0.48248821905804024","0.48248821905804024","0.48248821905804024"
"6399","0.5201688690736406","0.5201688690736406","0.5201688690736406"
"7199","0.5139210904117956","0.5139210904117956","0.5139210904117956"
"7999","0.5418585216095301","0.5418585216095301","0.5418585216095301"
"8799","0.53401171687708","0.53401171687708","0.53401171687708"
"9599","0.5445559463776406","0.5445559463776406","0.5445559463776406"
"10399","0.5475456499450904","0.5475456499450904","0.5475456499450904"
"11199","0.5628782540882538","0.5628782540882538","0.5628782540882538"
"11999","0.5811413720196335","0.5811413720196335","0.5811413720196335"
"12799","0.5825037009449212","0.5825037009449212","0.5825037009449212"
"13599","0.5744967408989311","0.5744967408989311","0.5744967408989311"
"14399","0.5923501369324832","0.5923501369324832","0.5923501369324832"
"15199","0.598259688284423","0.598259688284423","0.598259688284423"
"15999","0.6253604957773367","0.6253604957773367","0.6253604957773367"
"16799","0.6097528478298807","0.6097528478298807","0.6097528478298807"
"17599","0.6108780733514779","0.6108780733514779","0.6108780733514779"
"18399","0.6181099543932973","0.6181099543932973","0.6181099543932973"
"19199","0.6018270430582094","0.6018270430582094","0.6018270430582094"
"19999","0.6183550590212165","0.6183550590212165","0.6183550590212165"
"20799","0.6066539020744902","0.6066539020744902","0.6066539020744902"
"21599","0.6064171498432916","0.6064171498432916","0.6064171498432916"
"22399","0.6259122772767656","0.6259122772767656","0.6259122772767656"
"23199","0.6422475546275666","0.6422475546275666","0.6422475546275666"
"23999","0.6337563414866313","0.6337563414866313","0.6337563414866313"
"24799","0.6144945509597283","0.6144945509597283","0.6144945509597283"
"25599","0.6338930646435018","0.6338930646435018","0.6338930646435018"
"26399","0.6233699399211347","0.6233699399211347","0.6233699399211347"