"Step","Main - train/mcts_max_length","Main - train/mcts_max_length__MIN","Main - train/mcts_max_length__MAX"
"0","1","1","1"
"1","1","1","1"
"2","1","1","1"
"3","1","1","1"
"4","1","1","1"
"5","1","1","1"
"6","1","1","1"
"7","1","1","1"
"8","1","1","1"
"9","1","1","1"
"10","1","1","1"
"11","1","1","1"
"12","1","1","1"
"13","1","1","1"
"14","1","1","1"
"15","1","1","1"
"16","1","1","1"
"17","1","1","1"
"18","1","1","1"
"19","1","1","1"
"20","1","1","1"
"21","1","1","1"
"22","1","1","1"
"23","1","1","1"
"24","1","1","1"
"25","1","1","1"
"26","1","1","1"
"27","1","1","1"
"28","1","1","1"
"29","1","1","1"
"30","1","1","1"
"31","1","1","1"
"32","1","1","1"
"33","1","1","1"
"34","1","1","1"
"35","1","1","1"
"36","1","1","1"
"37","1","1","1"
"38","1","1","1"
"39","1","1","1"
"40","1","1","1"
"41","1","1","1"
"42","1","1","1"
"43","1","1","1"
"44","1","1","1"
"45","1","1","1"
"46","1","1","1"
"47","1","1","1"
"48","1","1","1"
"49","1","1","1"
"50","1","1","1"
"51","1","1","1"
"52","1","1","1"
"53","1","1","1"
"54","1","1","1"
"55","1","1","1"
"56","1","1","1"
"57","1","1","1"
"58","1","1","1"
"59","1","1","1"
"60","1","1","1"
"61","1","1","1"
"62","1","1","1"
"63","1","1","1"
"64","1","1","1"
"65","1","1","1"
"66","1","1","1"
"67","1","1","1"
"68","1","1","1"
"69","1","1","1"
"70","1","1","1"
"71","1","1","1"
"72","1","1","1"
"73","1","1","1"
"74","1","1","1"
"75","1","1","1"
"76","1","1","1"
"77","1","1","1"
"78","1","1","1"
"79","1","1","1"
"80","1","1","1"
"81","1","1","1"
"82","1","1","1"
"83","1","1","1"
"84","1","1","1"
"85","1","1","1"
"86","1","1","1"
"87","1","1","1"
"88","1","1","1"
"89","1","1","1"
"90","1","1","1"
"91","1","1","1"
"92","1","1","1"
"93","1","1","1"
"94","1","1","1"
"95","1","1","1"
"96","1","1","1"
"97","1","1","1"
"98","1","1","1"
"99","1","1","1"
"100","2","2","2"
"101","2","2","2"
"102","2","2","2"
"103","2","2","2"
"104","2","2","2"
"105","2","2","2"
"106","2","2","2"
"107","2","2","2"
"108","2","2","2"
"109","2","2","2"
"110","2","2","2"
"111","2","2","2"
"112","2","2","2"
"113","2","2","2"
"114","2","2","2"
"115","2","2","2"
"116","2","2","2"
"117","2","2","2"
"118","2","2","2"
"119","2","2","2"
"120","2","2","2"
"121","2","2","2"
"122","2","2","2"
"123","2","2","2"
"124","2","2","2"
"125","2","2","2"
"126","2","2","2"
"127","2","2","2"
"128","2","2","2"
"129","2","2","2"
"130","2","2","2"
"131","2","2","2"
"132","2","2","2"
"133","2","2","2"
"134","2","2","2"
"135","2","2","2"
"136","2","2","2"
"137","2","2","2"
"138","2","2","2"
"139","2","2","2"
"140","2","2","2"
"141","2","2","2"
"142","2","2","2"
"143","2","2","2"
"144","2","2","2"
"145","2","2","2"
"146","2","2","2"
"147","2","2","2"
"148","2","2","2"
"149","2","2","2"
"150","2","2","2"
"151","2","2","2"
"152","2","2","2"
"153","2","2","2"
"154","2","2","2"
"155","2","2","2"
"156","2","2","2"
"157","2","2","2"
"158","2","2","2"
"159","2","2","2"
"160","2","2","2"
"161","2","2","2"
"162","2","2","2"
"163","2","2","2"
"164","2","2","2"
"165","2","2","2"
"166","2","2","2"
"167","2","2","2"
"168","2","2","2"
"169","2","2","2"
"170","2","2","2"
"171","2","2","2"
"172","2","2","2"
"173","2","2","2"
"174","2","2","2"
"175","2","2","2"
"176","2","2","2"
"177","2","2","2"
"178","2","2","2"
"179","2","2","2"
"180","2","2","2"
"181","2","2","2"
"182","2","2","2"
"183","2","2","2"
"184","2","2","2"
"185","2","2","2"
"186","2","2","2"
"187","2","2","2"
"188","2","2","2"
"189","2","2","2"
"190","2","2","2"
"191","2","2","2"
"192","2","2","2"
"193","2","2","2"
"194","2","2","2"
"195","2","2","2"
"196","2","2","2"
"197","2","2","2"
"198","2","2","2"
"199","2","2","2"
"200","3","3","3"
"201","3","3","3"
"202","3","3","3"
"203","3","3","3"
"204","3","3","3"
"205","3","3","3"
"206","3","3","3"
"207","3","3","3"
"208","3","3","3"
"209","3","3","3"
"210","3","3","3"
"211","3","3","3"
"212","3","3","3"
"213","3","3","3"
"214","3","3","3"
"215","3","3","3"
"216","3","3","3"
"217","3","3","3"
"218","3","3","3"
"219","3","3","3"
"220","3","3","3"
"221","3","3","3"
"222","3","3","3"
"223","3","3","3"
"224","3","3","3"
"225","3","3","3"
"226","3","3","3"
"227","3","3","3"
"228","3","3","3"
"229","3","3","3"
"230","3","3","3"
"231","3","3","3"
"232","3","3","3"
"233","3","3","3"
"234","3","3","3"
"235","3","3","3"
"236","3","3","3"
"237","3","3","3"
"238","3","3","3"
"239","3","3","3"
"240","3","3","3"
"241","3","3","3"
"242","3","3","3"
"243","3","3","3"
"244","3","3","3"
"245","3","3","3"
"246","3","3","3"
"247","3","3","3"
"248","3","3","3"
"249","3","3","3"
"250","3","3","3"
"251","3","3","3"
"252","3","3","3"
"253","3","3","3"
"254","3","3","3"
"255","3","3","3"
"256","3","3","3"
"257","3","3","3"
"258","3","3","3"
"259","3","3","3"
"260","3","3","3"
"261","3","3","3"
"262","3","3","3"
"263","3","3","3"
"264","3","3","3"
"265","3","3","3"
"266","3","3","3"
"267","3","3","3"
"268","3","3","3"
"269","3","3","3"
"270","3","3","3"
"271","3","3","3"
"272","3","3","3"
"273","3","3","3"
"274","3","3","3"
"275","3","3","3"
"276","3","3","3"
"277","3","3","3"
"278","3","3","3"
"279","3","3","3"
"280","3","3","3"
"281","3","3","3"
"282","3","3","3"
"283","3","3","3"
"284","3","3","3"
"285","3","3","3"
"286","3","3","3"
"287","3","3","3"
"288","3","3","3"
"289","3","3","3"
"290","3","3","3"
"291","3","3","3"
"292","3","3","3"
"293","3","3","3"
"294","3","3","3"
"295","3","3","3"
"296","3","3","3"
"297","3","3","3"
"298","3","3","3"
"299","3","3","3"
"300","4","4","4"
"301","4","4","4"
"302","4","4","4"
"303","4","4","4"
"304","4","4","4"
"305","4","4","4"
"306","4","4","4"
"307","4","4","4"
"308","4","4","4"
"309","4","4","4"
"310","4","4","4"
"311","4","4","4"
"312","4","4","4"
"313","4","4","4"
"314","4","4","4"
"315","4","4","4"
"316","4","4","4"
"317","4","4","4"
"318","4","4","4"
"319","4","4","4"
"320","4","4","4"
"321","4","4","4"
"322","4","4","4"
"323","4","4","4"
"324","4","4","4"
"325","4","4","4"
"326","4","4","4"
"327","4","4","4"
"328","4","4","4"
"329","4","4","4"
"330","4","4","4"
"331","4","4","4"
"332","4","4","4"
"333","4","4","4"
"334","4","4","4"
"335","4","4","4"
"336","4","4","4"
"337","4","4","4"
"338","4","4","4"
"339","4","4","4"
"340","4","4","4"
"341","4","4","4"
"342","4","4","4"
"343","4","4","4"
"344","4","4","4"
"345","4","4","4"
"346","4","4","4"
"347","4","4","4"
"348","4","4","4"
"349","4","4","4"
"350","4","4","4"
"351","4","4","4"
"352","4","4","4"
"353","4","4","4"
"354","4","4","4"
"355","4","4","4"
"356","4","4","4"
"357","4","4","4"
"358","4","4","4"
"359","4","4","4"
"360","4","4","4"
"361","4","4","4"
"362","4","4","4"
"363","4","4","4"
"364","4","4","4"
"365","4","4","4"
"366","4","4","4"
"367","4","4","4"
"368","4","4","4"
"369","4","4","4"
"370","4","4","4"
"371","4","4","4"
"372","4","4","4"
"373","4","4","4"
"374","4","4","4"
"375","4","4","4"
"376","4","4","4"
"377","4","4","4"
"378","4","4","4"
"379","4","4","4"
"380","4","4","4"
"381","4","4","4"
"382","4","4","4"
"383","4","4","4"
"384","4","4","4"
"385","4","4","4"
"386","4","4","4"
"387","4","4","4"
"388","4","4","4"
"389","4","4","4"
"390","4","4","4"
"391","4","4","4"
"392","4","4","4"
"393","4","4","4"
"394","4","4","4"
"395","4","4","4"
"396","4","4","4"
"397","4","4","4"
"398","4","4","4"
"399","4","4","4"
"400","5","5","5"
"401","5","5","5"
"402","5","5","5"
"403","5","5","5"
"404","5","5","5"
"405","5","5","5"
"406","5","5","5"
"407","5","5","5"
"408","5","5","5"
"409","5","5","5"
"410","5","5","5"
"411","5","5","5"
"412","5","5","5"
"413","5","5","5"
"414","5","5","5"
"415","5","5","5"
"416","5","5","5"
"417","5","5","5"
"418","5","5","5"
"419","5","5","5"
"420","5","5","5"
"421","5","5","5"
"422","5","5","5"
"423","5","5","5"
"424","5","5","5"
"425","5","5","5"
"426","5","5","5"
"427","5","5","5"
"428","5","5","5"
"429","5","5","5"
"430","5","5","5"
"431","5","5","5"
"432","5","5","5"
"433","5","5","5"
"434","5","5","5"
"435","5","5","5"
"436","5","5","5"
"437","5","5","5"
"438","5","5","5"
"439","5","5","5"
"440","5","5","5"
"441","5","5","5"
"442","5","5","5"
"443","5","5","5"
"444","5","5","5"
"445","5","5","5"
"446","5","5","5"
"447","5","5","5"
"448","5","5","5"
"449","5","5","5"
"450","5","5","5"
"451","5","5","5"
"452","5","5","5"
"453","5","5","5"
"454","5","5","5"
"455","5","5","5"
"456","5","5","5"
"457","5","5","5"
"458","5","5","5"
"459","5","5","5"
"460","5","5","5"
"461","5","5","5"
"462","5","5","5"
"463","5","5","5"
"464","5","5","5"
"465","5","5","5"
"466","5","5","5"
"467","5","5","5"
"468","5","5","5"
"469","5","5","5"
"470","5","5","5"
"471","5","5","5"
"472","5","5","5"
"473","5","5","5"
"474","5","5","5"
"475","5","5","5"
"476","5","5","5"
"477","5","5","5"
"478","5","5","5"
"479","5","5","5"
"480","5","5","5"
"481","5","5","5"
"482","5","5","5"
"483","5","5","5"
"484","5","5","5"
"485","5","5","5"
"486","5","5","5"
"487","5","5","5"
"488","5","5","5"
"489","5","5","5"
"490","5","5","5"
"491","5","5","5"
"492","5","5","5"
"493","5","5","5"
"494","5","5","5"
"495","5","5","5"
"496","5","5","5"
"497","5","5","5"
"498","5","5","5"
"499","5","5","5"
"500","6","6","6"
"501","6","6","6"
"502","6","6","6"
"503","6","6","6"
"504","6","6","6"
"505","6","6","6"
"506","6","6","6"
"507","6","6","6"
"508","6","6","6"
"509","6","6","6"
"510","6","6","6"
"511","6","6","6"
"512","6","6","6"
"513","6","6","6"
"514","6","6","6"
"515","6","6","6"
"516","6","6","6"
"517","6","6","6"
"518","6","6","6"
"519","6","6","6"
"520","6","6","6"
"521","6","6","6"
"522","6","6","6"
"523","6","6","6"
"524","6","6","6"
"525","6","6","6"
"526","6","6","6"
"527","6","6","6"
"528","6","6","6"
"529","6","6","6"
"530","6","6","6"
"531","6","6","6"
"532","6","6","6"
"533","6","6","6"
"534","6","6","6"
"535","6","6","6"
"536","6","6","6"
"537","6","6","6"
"538","6","6","6"
"539","6","6","6"
"540","6","6","6"
"541","6","6","6"
"542","6","6","6"
"543","6","6","6"
"544","6","6","6"
"545","6","6","6"
"546","6","6","6"
"547","6","6","6"
"548","6","6","6"
"549","6","6","6"
"550","6","6","6"
"551","6","6","6"
"552","6","6","6"
"553","6","6","6"
"554","6","6","6"
"555","6","6","6"
"556","6","6","6"
"557","6","6","6"
"558","6","6","6"
"559","6","6","6"
"560","6","6","6"
"561","6","6","6"
"562","6","6","6"
"563","6","6","6"
"564","6","6","6"
"565","6","6","6"
"566","6","6","6"
"567","6","6","6"
"568","6","6","6"
"569","6","6","6"
"570","6","6","6"
"571","6","6","6"
"572","6","6","6"
"573","6","6","6"
"574","6","6","6"
"575","6","6","6"
"576","6","6","6"
"577","6","6","6"
"578","6","6","6"
"579","6","6","6"
"580","6","6","6"
"581","6","6","6"
"582","6","6","6"
"583","6","6","6"
"584","6","6","6"
"585","6","6","6"
"586","6","6","6"
"587","6","6","6"
"588","6","6","6"
"589","6","6","6"
"590","6","6","6"
"591","6","6","6"
"592","6","6","6"
"593","6","6","6"
"594","6","6","6"
"595","6","6","6"
"596","6","6","6"
"597","6","6","6"
"598","6","6","6"
"599","6","6","6"
"600","7","7","7"
"601","7","7","7"
"602","7","7","7"
"603","7","7","7"
"604","7","7","7"
"605","7","7","7"
"606","7","7","7"
"607","7","7","7"
"608","7","7","7"
"609","7","7","7"
"610","7","7","7"
"611","7","7","7"
"612","7","7","7"
"613","7","7","7"
"614","7","7","7"
"615","7","7","7"
"616","7","7","7"
"617","7","7","7"
"618","7","7","7"
"619","7","7","7"
"620","7","7","7"
"621","7","7","7"
"622","7","7","7"
"623","7","7","7"
"624","7","7","7"
"625","7","7","7"
"626","7","7","7"
"627","7","7","7"
"628","7","7","7"
"629","7","7","7"
"630","7","7","7"
"631","7","7","7"
"632","7","7","7"
"633","7","7","7"
"634","7","7","7"
"635","7","7","7"
"636","7","7","7"
"637","7","7","7"
"638","7","7","7"
"639","7","7","7"
"640","7","7","7"
"641","7","7","7"
"642","7","7","7"
"643","7","7","7"
"644","7","7","7"
"645","7","7","7"
"646","7","7","7"
"647","7","7","7"
"648","7","7","7"
"649","7","7","7"
"650","7","7","7"
"651","7","7","7"
"652","7","7","7"
"653","7","7","7"
"654","7","7","7"
"655","7","7","7"
"656","7","7","7"
"657","7","7","7"
"658","7","7","7"
"659","7","7","7"
"660","7","7","7"
"661","7","7","7"
"662","7","7","7"
"663","7","7","7"
"664","7","7","7"
"665","7","7","7"
"666","7","7","7"
"667","7","7","7"
"668","7","7","7"
"669","7","7","7"
"670","7","7","7"
"671","7","7","7"
"672","7","7","7"
"673","7","7","7"
"674","7","7","7"
"675","7","7","7"
"676","7","7","7"
"677","7","7","7"
"678","7","7","7"
"679","7","7","7"
"680","7","7","7"
"681","7","7","7"
"682","7","7","7"
"683","7","7","7"
"684","7","7","7"
"685","7","7","7"
"686","7","7","7"
"687","7","7","7"
"688","7","7","7"
"689","7","7","7"
"690","7","7","7"
"691","7","7","7"
"692","7","7","7"
"693","7","7","7"
"694","7","7","7"
"695","7","7","7"
"696","7","7","7"
"697","7","7","7"
"698","7","7","7"
"699","7","7","7"
"700","8","8","8"
"701","8","8","8"
"702","8","8","8"
"703","8","8","8"
"704","8","8","8"
"705","8","8","8"
"706","8","8","8"
"707","8","8","8"
"708","8","8","8"
"709","8","8","8"
"710","8","8","8"
"711","8","8","8"
"712","8","8","8"
"713","8","8","8"
"714","8","8","8"
"715","8","8","8"
"716","8","8","8"
"717","8","8","8"
"718","8","8","8"
"719","8","8","8"
"720","8","8","8"
"721","8","8","8"
"722","8","8","8"
"723","8","8","8"
"724","8","8","8"
"725","8","8","8"
"726","8","8","8"
"727","8","8","8"
"728","8","8","8"
"729","8","8","8"
"730","8","8","8"
"731","8","8","8"
"732","8","8","8"
"733","8","8","8"
"734","8","8","8"
"735","8","8","8"
"736","8","8","8"
"737","8","8","8"
"738","8","8","8"
"739","8","8","8"
"740","8","8","8"
"741","8","8","8"
"742","8","8","8"
"743","8","8","8"
"744","8","8","8"
"745","8","8","8"
"746","8","8","8"
"747","8","8","8"
"748","8","8","8"
"749","8","8","8"
"750","8","8","8"
"751","8","8","8"
"752","8","8","8"
"753","8","8","8"
"754","8","8","8"
"755","8","8","8"
"756","8","8","8"
"757","8","8","8"
"758","8","8","8"
"759","8","8","8"
"760","8","8","8"
"761","8","8","8"
