"Step","Main - train/mcts_max_length","Main - train/mcts_max_length__MIN","Main - train/mcts_max_length__MAX"
"762","8","8","8"
"763","8","8","8"
"764","8","8","8"
"765","8","8","8"
"766","8","8","8"
"767","8","8","8"
"768","8","8","8"
"769","8","8","8"
"770","8","8","8"
"771","8","8","8"
"772","8","8","8"
"773","8","8","8"
"774","8","8","8"
"775","8","8","8"
"776","8","8","8"
"777","8","8","8"
"778","8","8","8"
"779","8","8","8"
"780","8","8","8"
"781","8","8","8"
"782","8","8","8"
"783","8","8","8"
"784","8","8","8"
"785","8","8","8"
"786","8","8","8"
"787","8","8","8"
"788","8","8","8"
"789","8","8","8"
"790","8","8","8"
"791","8","8","8"
"792","8","8","8"
"793","8","8","8"
"794","8","8","8"
"795","8","8","8"
"796","8","8","8"
"797","8","8","8"
"798","8","8","8"
"799","8","8","8"
"800","9","9","9"
"801","9","9","9"
"802","9","9","9"
"803","9","9","9"
"804","9","9","9"
"805","9","9","9"
"806","9","9","9"
"807","9","9","9"
"808","9","9","9"
"809","9","9","9"
"810","9","9","9"
"811","9","9","9"
"812","9","9","9"
"813","9","9","9"
"814","9","9","9"
"815","9","9","9"
"816","9","9","9"
"817","9","9","9"
"818","9","9","9"
"819","9","9","9"
"820","9","9","9"
"821","9","9","9"
"822","9","9","9"
"823","9","9","9"
"824","9","9","9"
"825","9","9","9"
"826","9","9","9"
"827","9","9","9"
"828","9","9","9"
"829","9","9","9"
"830","9","9","9"
"831","9","9","9"
"832","9","9","9"
"833","9","9","9"
"834","9","9","9"
"835","9","9","9"
"836","9","9","9"
"837","9","9","9"
"838","9","9","9"
"839","9","9","9"
"840","9","9","9"
"841","9","9","9"
"842","9","9","9"
"843","9","9","9"
"844","9","9","9"
"845","9","9","9"
"846","9","9","9"
"847","9","9","9"
"848","9","9","9"
"849","9","9","9"
"850","9","9","9"
"851","9","9","9"
"852","9","9","9"
"853","9","9","9"
"854","9","9","9"
"855","9","9","9"
"856","9","9","9"
"857","9","9","9"
"858","9","9","9"
"859","9","9","9"
"860","9","9","9"
"861","9","9","9"
"862","9","9","9"
"863","9","9","9"
"864","9","9","9"
"865","9","9","9"
"866","9","9","9"
"867","9","9","9"
"868","9","9","9"
"869","9","9","9"
"870","9","9","9"
"871","9","9","9"
"872","9","9","9"
"873","9","9","9"
"874","9","9","9"
"875","9","9","9"
"876","9","9","9"
"877","9","9","9"
"878","9","9","9"
"879","9","9","9"
"880","9","9","9"
"881","9","9","9"
"882","9","9","9"
"883","9","9","9"
"884","9","9","9"
"885","9","9","9"
"886","9","9","9"
"887","9","9","9"
"888","9","9","9"
"889","9","9","9"
"890","9","9","9"
"891","9","9","9"
"892","9","9","9"
"893","9","9","9"
"894","9","9","9"
"895","9","9","9"
"896","9","9","9"
"897","9","9","9"
"898","9","9","9"
"899","9","9","9"
"900","10","10","10"
"901","10","10","10"
"902","10","10","10"
"903","10","10","10"
"904","10","10","10"
"905","10","10","10"
"906","10","10","10"
"907","10","10","10"
"908","10","10","10"
"909","10","10","10"
"910","10","10","10"
"911","10","10","10"
"912","10","10","10"
"913","10","10","10"
"914","10","10","10"
"915","10","10","10"
"916","10","10","10"
"917","10","10","10"
"918","10","10","10"
"919","10","10","10"
"920","10","10","10"
"921","10","10","10"
"922","10","10","10"
"923","10","10","10"
"924","10","10","10"
"925","10","10","10"
"926","10","10","10"
"927","10","10","10"
"928","10","10","10"
"929","10","10","10"
"930","10","10","10"
"931","10","10","10"
"932","10","10","10"
"933","10","10","10"
"934","10","10","10"
"935","10","10","10"
"936","10","10","10"
"937","10","10","10"
"938","10","10","10"
"939","10","10","10"
"940","10","10","10"
"941","10","10","10"
"942","10","10","10"
"943","10","10","10"
"944","10","10","10"
"945","10","10","10"
"946","10","10","10"
"947","10","10","10"
"948","10","10","10"
"949","10","10","10"
"950","10","10","10"
"951","10","10","10"
"952","10","10","10"
"953","10","10","10"
"954","10","10","10"
"955","10","10","10"
"956","10","10","10"
"957","10","10","10"
"958","10","10","10"
"959","10","10","10"
"960","10","10","10"
"961","10","10","10"
"962","10","10","10"
"963","10","10","10"
"964","10","10","10"
"965","10","10","10"
"966","10","10","10"
"967","10","10","10"
"968","10","10","10"
"969","10","10","10"
"970","10","10","10"
"971","10","10","10"
"972","10","10","10"
"973","10","10","10"
"974","10","10","10"
"975","10","10","10"
"976","10","10","10"
"977","10","10","10"
"978","10","10","10"
"979","10","10","10"
"980","10","10","10"
"981","10","10","10"
"982","10","10","10"
"983","10","10","10"
"984","10","10","10"
"985","10","10","10"
"986","10","10","10"
"987","10","10","10"
"988","10","10","10"
"989","10","10","10"
"990","10","10","10"
"991","10","10","10"
"992","10","10","10"
"993","10","10","10"
"994","10","10","10"
"995","10","10","10"
"996","10","10","10"
"997","10","10","10"
"998","10","10","10"
"999","10","10","10"
"1000","11","11","11"
"1001","11","11","11"
"1002","11","11","11"
"1003","11","11","11"
"1004","11","11","11"
"1005","11","11","11"
"1006","11","11","11"
"1007","11","11","11"
"1008","11","11","11"
"1009","11","11","11"
"1010","11","11","11"
"1011","11","11","11"
"1012","11","11","11"
"1013","11","11","11"
"1014","11","11","11"
"1015","11","11","11"
"1016","11","11","11"
"1017","11","11","11"
"1018","11","11","11"
"1019","11","11","11"
"1020","11","11","11"
"1021","11","11","11"
"1022","11","11","11"
"1023","11","11","11"
"1024","11","11","11"
"1025","11","11","11"
"1026","11","11","11"
"1027","11","11","11"
"1028","11","11","11"
"1029","11","11","11"
"1030","11","11","11"
"1031","11","11","11"
"1032","11","11","11"
"1033","11","11","11"
"1034","11","11","11"
"1035","11","11","11"
"1036","11","11","11"
"1037","11","11","11"
"1038","11","11","11"
"1039","11","11","11"
"1040","11","11","11"
"1041","11","11","11"
"1042","11","11","11"
"1043","11","11","11"
"1044","11","11","11"
"1045","11","11","11"
"1046","11","11","11"
"1047","11","11","11"
"1048","11","11","11"
"1049","11","11","11"
"1050","11","11","11"
"1051","11","11","11"
"1052","11","11","11"
"1053","11","11","11"
"1054","11","11","11"
"1055","11","11","11"
"1056","11","11","11"
"1057","11","11","11"
"1058","11","11","11"
"1059","11","11","11"
"1060","11","11","11"
"1061","11","11","11"
"1062","11","11","11"
"1063","11","11","11"
"1064","11","11","11"
"1065","11","11","11"
"1066","11","11","11"
"1067","11","11","11"
"1068","11","11","11"
"1069","11","11","11"
"1070","11","11","11"
"1071","11","11","11"
"1072","11","11","11"
"1073","11","11","11"
"1074","11","11","11"
"1075","11","11","11"
"1076","11","11","11"
"1077","11","11","11"
"1078","11","11","11"
"1079","11","11","11"
"1080","11","11","11"
"1081","11","11","11"
"1082","11","11","11"
"1083","11","11","11"
"1084","11","11","11"
"1085","11","11","11"
"1086","11","11","11"
"1087","11","11","11"
"1088","11","11","11"
"1089","11","11","11"
"1090","11","11","11"
"1091","11","11","11"
"1092","11","11","11"
"1093","11","11","11"
"1094","11","11","11"
"1095","11","11","11"
"1096","11","11","11"
"1097","11","11","11"
"1098","11","11","11"
"1099","11","11","11"
"1100","12","12","12"
"1101","12","12","12"
"1102","12","12","12"
"1103","12","12","12"
"1104","12","12","12"
"1105","12","12","12"
"1106","12","12","12"
"1107","12","12","12"
"1108","12","12","12"
"1109","12","12","12"
"1110","12","12","12"
"1111","12","12","12"
"1112","12","12","12"
"1113","12","12","12"
"1114","12","12","12"
"1115","12","12","12"
"1116","12","12","12"
"1117","12","12","12"
"1118","12","12","12"
"1119","12","12","12"
"1120","12","12","12"
"1121","12","12","12"
"1122","12","12","12"
"1123","12","12","12"
"1124","12","12","12"
"1125","12","12","12"
"1126","12","12","12"
"1127","12","12","12"
"1128","12","12","12"
"1129","12","12","12"
"1130","12","12","12"
"1131","12","12","12"
"1132","12","12","12"
"1133","12","12","12"
"1134","12","12","12"
"1135","12","12","12"
"1136","12","12","12"
"1137","12","12","12"
"1138","12","12","12"
"1139","12","12","12"
"1140","12","12","12"
"1141","12","12","12"
"1142","12","12","12"
"1143","12","12","12"
"1144","12","12","12"
"1145","12","12","12"
"1146","12","12","12"
"1147","12","12","12"
"1148","12","12","12"
"1149","12","12","12"
"1150","12","12","12"
"1151","12","12","12"
"1152","12","12","12"
"1153","12","12","12"
"1154","12","12","12"
"1155","12","12","12"
"1156","12","12","12"
"1157","12","12","12"
"1158","12","12","12"
"1159","12","12","12"
"1160","12","12","12"
"1161","12","12","12"
"1162","12","12","12"
"1163","12","12","12"
"1164","12","12","12"
"1165","12","12","12"
"1166","12","12","12"
"1167","12","12","12"
"1168","12","12","12"
"1169","12","12","12"
"1170","12","12","12"
"1171","12","12","12"
"1172","12","12","12"
"1173","12","12","12"
"1174","12","12","12"
"1175","12","12","12"
"1176","12","12","12"
"1177","12","12","12"
"1178","12","12","12"
"1179","12","12","12"
"1180","12","12","12"
"1181","12","12","12"
"1182","12","12","12"
"1183","12","12","12"
"1184","12","12","12"
"1185","12","12","12"
"1186","12","12","12"
"1187","12","12","12"
"1188","12","12","12"
"1189","12","12","12"
"1190","12","12","12"
"1191","12","12","12"
"1192","12","12","12"
"1193","12","12","12"
"1194","12","12","12"
"1195","12","12","12"
"1196","12","12","12"
"1197","12","12","12"
"1198","12","12","12"
"1199","12","12","12"
"1200","13","13","13"
"1201","13","13","13"
"1202","13","13","13"
"1203","13","13","13"
"1204","13","13","13"
"1205","13","13","13"
"1206","13","13","13"
"1207","13","13","13"
"1208","13","13","13"
"1209","13","13","13"
"1210","13","13","13"
"1211","13","13","13"
"1212","13","13","13"
"1213","13","13","13"
"1214","13","13","13"
"1215","13","13","13"
"1216","13","13","13"
"1217","13","13","13"
"1218","13","13","13"
"1219","13","13","13"
"1220","13","13","13"
"1221","13","13","13"
"1222","13","13","13"
"1223","13","13","13"
"1224","13","13","13"
"1225","13","13","13"
"1226","13","13","13"
"1227","13","13","13"
"1228","13","13","13"
"1229","13","13","13"
"1230","13","13","13"
"1231","13","13","13"
"1232","13","13","13"
"1233","13","13","13"
"1234","13","13","13"
"1235","13","13","13"
"1236","13","13","13"
"1237","13","13","13"
"1238","13","13","13"
"1239","13","13","13"
"1240","13","13","13"
"1241","13","13","13"
"1242","13","13","13"
"1243","13","13","13"
"1244","13","13","13"
"1245","13","13","13"
"1246","13","13","13"
"1247","13","13","13"
"1248","13","13","13"
"1249","13","13","13"
"1250","13","13","13"
"1251","13","13","13"
"1252","13","13","13"
"1253","13","13","13"
"1254","13","13","13"
"1255","13","13","13"
"1256","13","13","13"
"1257","13","13","13"
"1258","13","13","13"
"1259","13","13","13"
"1260","13","13","13"
"1261","13","13","13"
"1262","13","13","13"
"1263","13","13","13"
"1264","13","13","13"
"1265","13","13","13"
"1266","13","13","13"
"1267","13","13","13"
"1268","13","13","13"
"1269","13","13","13"
"1270","13","13","13"
"1271","13","13","13"
"1272","13","13","13"
"1273","13","13","13"
"1274","13","13","13"
"1275","13","13","13"
"1276","13","13","13"
"1277","13","13","13"
"1278","13","13","13"
"1279","13","13","13"
"1280","13","13","13"
"1281","13","13","13"
"1282","13","13","13"
"1283","13","13","13"
"1284","13","13","13"
"1285","13","13","13"
"1286","13","13","13"
"1287","13","13","13"
"1288","13","13","13"
"1289","13","13","13"
"1290","13","13","13"
"1291","13","13","13"
"1292","13","13","13"
"1293","13","13","13"
"1294","13","13","13"
"1295","13","13","13"
"1296","13","13","13"
"1297","13","13","13"
"1298","13","13","13"
"1299","13","13","13"
"1300","14","14","14"
"1301","14","14","14"
"1302","14","14","14"
"1303","14","14","14"
"1304","14","14","14"
"1305","14","14","14"
"1306","14","14","14"
"1307","14","14","14"
"1308","14","14","14"
"1309","14","14","14"
"1310","14","14","14"
"1311","14","14","14"
"1312","14","14","14"
"1313","14","14","14"
"1314","14","14","14"
"1315","14","14","14"
"1316","14","14","14"
"1317","14","14","14"
"1318","14","14","14"
"1319","14","14","14"
"1320","14","14","14"
"1321","14","14","14"
"1322","14","14","14"
"1323","14","14","14"
"1324","14","14","14"
"1325","14","14","14"
"1326","14","14","14"
"1327","14","14","14"
"1328","14","14","14"
"1329","14","14","14"
"1330","14","14","14"
"1331","14","14","14"
"1332","14","14","14"
"1333","14","14","14"
"1334","14","14","14"
"1335","14","14","14"
"1336","14","14","14"
"1337","14","14","14"
"1338","14","14","14"
"1339","14","14","14"
"1340","14","14","14"
"1341","14","14","14"
"1342","14","14","14"
"1343","14","14","14"
"1344","14","14","14"
"1345","14","14","14"
"1346","14","14","14"
"1347","14","14","14"
"1348","14","14","14"
"1349","14","14","14"
"1350","14","14","14"
"1351","14","14","14"
"1352","14","14","14"
"1353","14","14","14"
"1354","14","14","14"
"1355","14","14","14"
"1356","14","14","14"
"1357","14","14","14"
"1358","14","14","14"
"1359","14","14","14"
"1360","14","14","14"
"1361","14","14","14"
"1362","14","14","14"
"1363","14","14","14"
"1364","14","14","14"
"1365","14","14","14"
"1366","14","14","14"
"1367","14","14","14"
"1368","14","14","14"
"1369","14","14","14"
"1370","14","14","14"
"1371","14","14","14"
"1372","14","14","14"
"1373","14","14","14"
"1374","14","14","14"
"1375","14","14","14"
"1376","14","14","14"
"1377","14","14","14"
"1378","14","14","14"
"1379","14","14","14"
"1380","14","14","14"
"1381","14","14","14"
"1382","14","14","14"
"1383","14","14","14"
"1384","14","14","14"
"1385","14","14","14"
"1386","14","14","14"
"1387","14","14","14"
"1388","14","14","14"
"1389","14","14","14"
"1390","14","14","14"
"1391","14","14","14"
"1392","14","14","14"
"1393","14","14","14"
"1394","14","14","14"
"1395","14","14","14"
"1396","14","14","14"
"1397","14","14","14"
"1398","14","14","14"
"1399","14","14","14"
"1400","15","15","15"
"1401","15","15","15"
"1402","15","15","15"
"1403","15","15","15"
"1404","15","15","15"
"1405","15","15","15"
"1406","15","15","15"
"1407","15","15","15"
"1408","15","15","15"
"1409","15","15","15"
"1410","15","15","15"
"1411","15","15","15"
"1412","15","15","15"
"1413","15","15","15"
"1414","15","15","15"
"1415","15","15","15"