"Step","criticrewardcompare - train/sampled_mean_reward","criticrewardcompare - train/sampled_mean_reward__MIN","criticrewardcompare - train/sampled_mean_reward__MAX"
"0","0.019864960520470834","0.019864960520470834","0.019864960520470834"
"1","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"2","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"3","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"4","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"5","0.706953755373944","0.706953755373944","0.706953755373944"
"6","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"7","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"8","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"9","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"10","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"11","0.021274240594823808","0.021274240594823808","0.021274240594823808"
"12","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"13","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"14","0.6970887948534732","0.6970887948534732","0.6970887948534732"
"15","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"16","1.0895808959542346","1.0895808959542346","1.0895808959542346"
"17","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"18","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"19","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"20","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"21","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"22","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"23","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"24","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"25","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"26","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"27","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"28","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"29","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"30","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"31","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"32","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"33","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"34","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"35","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"36","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"37","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"38","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"39","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"40","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"41","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"42","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"43","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"44","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"45","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"46","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"47","0.2675274956028832","0.2675274956028832","0.2675274956028832"
"48","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"49","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"50","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"51","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"52","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"53","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"54","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"55","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"56","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"57","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"58","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"59","0.2675274956028832","0.2675274956028832","0.2675274956028832"
"60","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"61","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"62","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"63","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"64","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"65","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"66","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"67","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"68","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"69","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"70","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"71","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"72","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"73","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"74","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"75","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"76","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"77","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"78","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"79","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"80","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"81","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"82","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"83","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"84","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"85","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"86","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"87","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"88","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"89","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"90","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"91","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"92","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"93","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"94","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"95","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"96","0.019864960520470834","0.019864960520470834","0.019864960520470834"
"97","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"98","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"99","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"100","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"101","0.019864960520470834","0.019864960520470834","0.019864960520470834"
"102","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"103","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"104","0.23533655865252281","0.23533655865252281","0.23533655865252281"
"105","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"106","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"107","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"108","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"109","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"110","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"111","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"112","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"113","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"114","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"115","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"116","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"117","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"118","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"119","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"120","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"121","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"122","0.010000000000000004","0.010000000000000004","0.010000000000000004"
"123","0.010000000000000004","0.010000000000000004","0.010000000000000004"